Star ID,Planet ID
1,1
2,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,11
10,12
11,12
10,13
11,13
12,14
13,15
14,16
15,17
16,18
17,19
18,20
19,21
20,22
21,23
22,24
23,25
24,26
24,27
24,28
25,29
25,30
26,31
27,32
28,33
29,34
30,35
31,36
32,37
32,38
33,39
33,40
34,41
34,42
35,43
36,44
36,45
37,46
38,47
38,48
39,49
40,50
40,51
40,52
41,53
42,54
43,55
44,56
45,57
46,58
47,59
47,60
47,61
48,62
49,63
50,64
51,65
51,66
52,67
53,68
53,69
54,70
55,71
56,72
57,73
58,74
59,75
60,76
61,77
62,78
63,79
63,80
63,81
64,82
64,83
65,84
66,85
67,86
68,87
69,88
70,89
71,90
72,91
73,92
73,93
74,94
75,95
76,96
76,97
77,98
77,99
78,100
79,101
80,102
81,103
82,104
83,105
84,106
85,107
86,108
87,109
88,110
89,111
89,112
90,113
91,114
91,115
91,116
92,117
93,118
94,119
95,120
95,121
96,122
96,123
97,124
97,125
98,126
99,127
100,128
101,129
102,130
103,131
104,132
105,133
106,134
106,135
107,136
108,137
109,138
110,139
111,140
112,141
113,142
114,143
115,144
116,145
117,146
118,147
119,148
119,149
119,150
120,151
121,152
122,153
123,154
124,155
125,156
126,157
127,158
128,159
129,160
130,161
131,162
