Discovery ID,Discovery Facility,Discovery Year,Discovery Method
1,McDonald Observatory,2004,Radial Velocity
2,Transiting Exoplanet Survey Satellite (TESS),2020,Transit
3,Transiting Exoplanet Survey Satellite (TESS),2021,Transit
4,CoRoT,2011,Transit
5,K2,2019,Transit
6,Cerro Tololo Inter-American Observatory,2015,Transit
7,MEarth Project,2009,Transit
8,Transiting Exoplanet Survey Satellite (TESS),2022,Transit
9,W. M. Keck Observatory,2004,Radial Velocity
10,Calar Alto Observatory,2021,Radial Velocity
11,K2,2017,Transit
12,Transiting Exoplanet Survey Satellite (TESS),2024,Transit
13,HATNet,2008,Transit
14,HATNet,2010,Transit
15,HATNet,2007,Transit
16,HATSouth,2016,Transit
17,Multiple Observatories,2016,Transit
18,Haute-Provence Observatory,2005,Radial Velocity
19,La Silla Observatory,2019,Radial Velocity
20,Transiting Exoplanet Survey Satellite (TESS),2019,Transit
21,Subaru Telescope,2007,Radial Velocity
22,W. M. Keck Observatory,1999,Radial Velocity
23,K2,2016,Transit
24,K2,2024,Transit
25,K2,2018,Transit
26,K2,2015,Transit
27,KELT-North,2017,Transit
28,Kepler,2014,Transit
29,Kepler,2011,Transit
30,Kepler,2012,Transit
31,Kepler,2016,Transit
32,Kepler,2013,Transit
33,Qatar,2017,Transit
34,Qatar,2019,Transit
35,Transiting Exoplanet Survey Satellite (TESS),2023,Transit
36,Transiting Exoplanet Survey Satellite (TESS),2025,Transit
37,SuperWASP,2008,Transit
38,SuperWASP-South,2017,Transit
39,SuperWASP-North,2016,Transit
40,SuperWASP,2016,Transit
41,SuperWASP-South,2016,Transit
42,SuperWASP-North,2020,Transit
43,WASP-South,2019,Transit
44,SuperWASP-South,2018,Transit
45,SuperWASP,2019,Transit
46,SuperWASP,2020,Transit
47,SuperWASP,2009,Transit
48,SuperWASP,2010,Transit
49,SuperWASP,2007,Transit
50,SuperWASP,2011,Transit
51,SuperWASP,2012,Transit
52,SuperWASP,2014,Transit
53,SuperWASP,2015,Transit
54,XO,2007,Transit
55,XO,2019,Transit
56,Transiting Exoplanet Survey Satellite (TESS),2018,Transit
