Planet ID,Planet Name,Planet Letter,Number of Moons,Orbital Period [days],Orbit Semi-Major Axis [au],Angular Separation [mas],Planet Radius [Earth Radius],Planet Mass or Mass*sin(i) [Earth Mass],Planet Density [g/cm**3],Eccentricity,Insolation Flux [Earth Flux],Equilibrium Temperature [K],Inclination [deg],Transit Midpoint [days],Transit Depth [%],Transit Duration [hours],Radial Velocity Amplitude [m/s]
1,55 Cnc e,e,0,0.7365474,0.01544,1.23,1.875,7.99,6.66,0.05,2657.8322,1958.0,83.59,2457063.21,0.03846733,1.5439,6.02
2,AU Mic b,b,0,8.463446,0.07,7.2,4.79,8.99,0.49,0.07,21.2,554.8,88.39,2458330.351,0.249,3.24,3.8
3,AU Mic c,c,0,18.859023,0.119,12.2,2.79,14.46,3.9,0.18,7.3,424.7,89.46,2458342.223,0.085,4.29,4.696
4,CoRoT-18 b,b,0,1.9000693,0.0295,0.0386,14.68,1102.82,2.2,0.08,823.7009,1550.0,86.5,2455321.724,2.57170086,2.387,590.0
5,G 9-40 b,b,0,5.7459982,0.0418,1.5,1.9,4.0,3.2,0.0,6.27,440.6,89.03,2459503.327,0.365,1.693,3.22
6,GJ 1132 b,b,0,1.62892911,0.0157,1.24,1.19151465,1.83704819,5.97,0.0118,19.3,583.8,88.16,2459280.99,0.2443,0.76646,2.98
7,GJ 1214 b,b,0,1.580404531,0.01505,1.03,2.733,8.41,2.26,0.0062,17.2,567.0,88.98,2459639.781,1.343,0.86966,14.38
8,GJ 3929 b,b,0,2.616235,0.0252,1.59,1.09,1.75,7.3,0.0,17.3,568.0,88.442,2458956.396,0.11206014,1.19,1.77
9,GJ 436 b,b,0,2.64388312,0.0291,2.98,4.17,22.1,1.8,0.13827,29.4322,686.0,86.44,2454510.802,0.6819,1.00536,17.09
10,GJ 486 b,b,0,1.46712127,0.01714,2.12,1.289,2.77,6.66,0.00086,39.2,696.3,89.39,2459939.072,0.13871,1.0158,3.389
11,GJ 9827 b,b,0,1.208974,0.0189,0.637,1.44,4.28,7.858,0.0,318.0,1035.01,87.6,2457738.826,0.0586,1.25976,3.53
12,GJ 9827 c,c,0,3.648103,0.0395,1.33,1.13,1.86,7.142,0.0,73.0,715.94,89.09,2457742.2,0.0361,1.8264,1.06
13,GJ 9827 d,d,0,6.20183,0.053,1.79,1.98,3.02,2.51,0.0,34.9,675.0,87.41,2460265.102,0.0957,1.2264,1.44
14,Gliese 12 b,b,0,12.761418,0.067,5.49,0.93,0.95,6.4,0.24,1.62,314.6,89.25,2460033.164,0.12152496,1.2,0.67
15,HAT-P-11 b,b,0,4.888,0.05258,1.39,4.36,25.0,1.172,0.251,100.77,838.0,89.027,2454957.813,0.43421,2.35562,10.42
16,HAT-P-19 b,b,0,4.00878322,0.04599,0.228,11.29865255,88.03846874,0.335,0.07,154.0,981.2,89.52,2456610.864,2.14837462,2.8368,40.9
17,HAT-P-20 b,b,0,2.875317,0.0361,0.508,9.718,2302.899,13.78,0.015,85.1168,970.0,86.8,2455080.927,0.9898,1.848,1246.0
18,HAT-P-21 b,b,0,4.12448,0.05037,0.182,12.44199,1547.8321,3.633781,0.23,459.542,1367.0,87.2,2458159.896,0.9,3.672,548.3
19,HAT-P-22 b,b,0,3.21222,0.0414,0.506,12.89035,785.0401,2.14,0.02,325.569,1463.0,86.9,2458261.306,1.1,2.653,313.3
20,HAT-P-3 b,b,0,2.8997,0.03866,0.287,10.53646,206.5895,0.855,0.0,176.587,1189.0,87.24,2455694.726,1.2,2.0808,89.1
21,HATS-16 b,b,0,2.686502,0.03744,0.0495,14.5717,1039.3041,1.86,0.0,994.8095,1592.0,83.53,2456824.791,1.21353375,2.6208,485.0
22,HATS-18 b,b,0,0.83784,0.0174,0.0279,14.896761,629.144485,1.1169,0.166,2990.0,2069.48,85.29,2458217.644,2.13557851,1.944,415.2
23,HATS-29 b,b,0,4.6058749,0.05475,0.155,14.022459,207.54299,0.411,0.158,356.0,1212.0,87.37,2457031.956,1.37930349,3.2112,78.4
24,HD 110113 b,b,0,2.541,0.035,0.329,2.05,4.55,2.9,0.093,735.49,1371.0,87.69,2458570.101,0.0572,2.376,2.15
25,HD 118203 b,b,0,6.1349779,0.0713,0.773,12.778238,680.152791,1.79,0.3136,593.4,1361.0,88.48,2458731.064,0.386,5.643,216.9
26,HD 136352 b,b,0,11.57797,0.0964,6.57,1.664,4.72,5.623888,0.0,111.6,905.0,88.49,2458944.373,0.0208,3.935,1.46
27,HD 136352 c,c,0,27.59221,0.1721,11.7,2.916,11.24,2.497668,0.0,35.1,677.0,88.571,2458954.41,0.0638,3.251,2.61
28,HD 136352 d,d,0,107.245,0.425,28.9,2.562,8.82,2.878108,0.0,5.74,431.0,89.73,2459009.776,0.0492,8.87,1.3
29,HD 15337 b,b,0,4.7559804,0.05245,1.17,1.77,6.519,6.458,0.058,161.7314,1001.0,89.3,2458411.462,0.0344,2.5536,2.82
30,HD 15337 c,c,0,17.180546,0.1235,2.76,2.526,6.792,2.303,0.096,45.0685,656.1,88.41,2458414.552,0.0758,2.232,1.92
31,HD 17156 b,b,0,21.2164294,0.1632,2.09,12.26262489,1036.120607,3.08,0.6772,68.8,888.0,86.51,2458809.07,0.5493,3.1505,274.5
32,HD 183579 b,b,0,17.471291,0.1322,2.31,3.49,20.4,2.65,0.061,58.1,752.0,89.11,2458661.063,0.1106,4.306,5.03
33,HD 18599 b,b,0,4.1374354,0.048,1.24,2.6,24.1,7.5,0.34,145.0,863.0,87.6,2459111.739,0.11255355,2.06,11.3
34,HD 189733 b,b,0,2.21857567,0.03126,1.58,12.66617,359.1479,0.943,0.0,356.0,1209.0,85.71,2453955.526,2.4,1.8233621,205.0
35,HD 209458 b,b,0,3.52474859,0.04707,0.975,15.58051,232.0159,0.362,0.0,587.098,1459.0,86.71,2451659.937,1.5,3.072,84.7
36,HD 213885 b,b,0,1.008035,0.02012,0.418,1.745,8.83,9.15,0.0,1882.94,2128.0,80.09,2458379.97,0.02,1.41,5.3
37,HD 260655 b,b,0,2.76953,0.02933,2.93,1.24,2.14,6.2,0.039,42.2,709.0,87.35,2459497.91,0.0712,1.15,1.69
38,HD 260655 c,c,0,5.70588,0.04749,4.75,1.533,3.09,4.7,0.038,16.1,557.0,87.79,2459490.365,0.0821,0.98,1.92
39,HD 3167 b,b,0,0.959641,0.01796,0.38,1.67,4.97,5.6,0.0,1650.0,1774.0,83.4,2457394.375,0.0294,1.609,3.56
40,HD 3167 c,c,0,29.8454,0.1776,3.76,3.0,11.13,2.11,0.06,16.9,564.0,89.3,2457394.979,0.0946,4.869,2.58
41,HD 63433 b,b,0,7.1079475,0.072,3.21,2.14,21.755,12.998,0.24,145.5707,967.11,89.075,2458845.373,0.05016058,3.2441716,7.412
42,HD 63433 c,c,0,20.5438281,0.146,6.52,2.692,15.539,4.63,0.21,35.3582,678.92,89.07,2458844.059,0.07993817,4.068,3.737
43,HD 73344 b,b,0,15.611,0.131,3.72,2.884,10.48,2.451,0.03,111.9729,911.0,88.082,2458095.9,0.05204898,3.304,2.34
44,HD 73583 b,b,0,6.398042,0.0604,1.91,2.79,10.2,2.58,0.09,43.3,714.0,88.37,2458517.69,0.1446,2.143,4.37
45,HD 73583 c,c,0,18.87974,0.1242,3.93,2.39,9.7,3.88,0.08,10.2,498.0,89.72,2459232.168,0.1199,3.67,2.89
46,HD 86226 c,c,0,3.98442,0.049,1.07,2.16,7.25,3.97,0.075,647.901,1311.0,86.45,2458543.254,0.0445,3.12,2.89
47,HD 93963 A b,b,0,1.0376109,0.02061,0.25,1.46954368,2.8,4.81,0.0,2898.0,1842.23,86.21,2459635.926,0.021,1.8155952,1.6
48,HD 93963 A c,c,0,3.6451389,0.04726,0.574,3.11976057,18.4,3.31,0.0,543.8,1212.45,86.31,2458902.874,0.078,2.3643117,7.2
49,HIP 65 A b,b,0,0.9809734,0.01782,0.288,22.75427,1021.18779,0.48,0.0,661.0,1411.0,77.18,2458326.104,8.2,0.78576,753.7
50,HR 858 b,b,0,3.585287,0.04888,1.53,2.004,3.55,2.44,0.0,989.7,1552.0,85.98,2458409.19,0.02137,2.705,1.3
51,HR 858 c,c,0,5.973865,0.0687,2.15,1.979,3.8,2.9,0.0,512.0,1309.0,86.59,2458415.633,0.02087,2.843,1.2
52,HR 858 d,d,0,11.230511,0.1046,3.27,2.001,7.1,4.9,0.0,217.0,1061.0,87.72,2458409.732,0.0213,3.47,1.78
53,K2-100 b,b,0,1.6739035,0.0301,0.159,3.88,21.8,2.04,0.0,1915.0,1841.0,81.27,2457140.719,0.01225,1.6056,10.6
54,K2-111 b,b,0,5.3518,0.0565,0.282,1.82,5.58,5.0,0.1,490.0,1309.0,86.43,2457100.077,0.01184,3.38,2.3
55,K2-136 c,c,0,17.30713,0.1185,2.0,3.0,18.1,3.69,0.047,11.91,470.0,89.7,2457812.718,0.1909,3.449,5.49
56,K2-140 b,b,0,6.569188,0.068,0.195,13.56286665,295.5804185,0.66,0.0,204.0,962.0,88.3,2457588.285,1.557,3.81,104.1
57,K2-141 b,b,0,0.2803244,0.00747,0.121,1.51,4.97,7.93,0.0,3260.0,2103.0,86.3,2457744.072,0.0507,0.94,6.1
58,K2-180 b,b,0,8.865663,0.0756,0.371,2.46597575,11.41003981,4.16,0.075,48.3,797.5,89.15,2457489.157,0.0987,2.8488,4.36
59,K2-19 b,b,0,7.922806,0.07487,0.258,6.59,30.8,0.59,0.043,87.0,857.0,89.37,2456829.222,0.6673,3.237,10.66
60,K2-19 c,c,0,11.8977,0.0982,0.339,3.88,11.12,1.046,0.067,51.0,749.0,89.37,2456829.185,0.2325,3.823,3.368
61,K2-19 d,d,0,2.50827,0.03478,0.12,1.044,6.2,31.0,0.44,404.0,1258.0,89.7,2456828.991,0.019,1.93,3.1
62,K2-237 b,b,0,2.18053332,0.03552,0.113,16.06246934,434.153604,0.577,0.03,1860.0,1759.0,88.37,2457706.616,1.416,2.92728,184.0
63,K2-25 b,b,0,3.48456408,0.0287,0.638,3.44,24.5,3.31,0.428,9.91,494.0,87.16,2458515.642,1.155,0.7637,27.9
64,K2-29 b,b,0,3.2588321,0.04217,0.236,13.33871,232.0159,0.53,0.066,293.0,1171.0,86.656,2453219.01,1.9011,2.22,103.5
65,K2-36 b,b,0,1.422614,0.02288,0.208,1.43,4.3,8.0,0.093,519.0,1328.0,84.45,2456810.892,0.0345,1.1232,2.85
66,K2-36 c,c,0,5.340888,0.05528,0.504,3.2,7.9,1.3,0.089,89.0,854.0,86.917,2456812.84,0.1545,1.153,3.4
67,KELT-18 b,b,0,2.8717518,0.0455,0.142,17.59813,375.0394,0.377,0.0,3152.0,2085.0,88.86,2457542.525,0.716,4.644,127.0
68,Kepler-103 b,b,0,15.9653287,0.133,0.269,3.4857,11.67,1.52,0.171,150.536,973.0,87.914,2455677.652,0.04861,4.527,2.75
69,Kepler-103 c,c,0,179.60978,0.6679,1.35,5.4539,58.47,1.98,0.103,5.97,434.0,89.704,2455667.16,0.12788,13.755,5.9
70,Kepler-17 b,b,0,1.4857108,0.02591,0.0359,14.68,778.65,1.35,0.011,1481.766,1570.0,87.2,2455185.678,2.18019,2.2764,419.5
71,Kepler-21 b,b,0,2.7858212,0.0434,0.4,1.639,7.5,9.3,0.0,2749.0,2015.0,83.2,2455093.837,0.006217,3.4834,2.7
72,Kepler-39 b,b,0,21.08721,0.164,0.155,13.9,6388.1,13.0,0.112,90.22,897.0,89.07,2455942.607,0.88947,5.96,1257.0
73,Kepler-423 b,b,0,2.6843285,0.03585,0.0472,13.361,189.101,0.459,0.019,649.148,1605.0,87.828,2454966.355,1.5872,2.722,96.7
74,Kepler-43 b,b,0,3.0240949,0.046,0.0457,13.663771,1026.5909,5.0,0.017,1138.115,1620.0,84.646,2454965.416,0.80048,2.9,375.0
75,Kepler-539 b,b,0,125.63243,0.4988,1.62,8.373123,308.2951,2.9,0.39,3.681,387.6,89.845,2455588.871,0.80459,9.299,132.3
76,Kepler-63 b,b,0,9.4341505,0.08,0.412,6.11,120.0,3.0,0.45,100.371,791.0,87.806,2455010.843,0.40243,2.903,40.0
77,Kepler-75 b,b,0,8.8849116,0.0818,0.0979,11.77,3209.9,11.0,0.57,106.484,767.0,89.12,2455640.44,1.76704,2.0778,1287.0
