Star ID,System ID,Spectral Type,Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Metallicity [dex],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr],Stellar Density [g/cm**3],Stellar Rotational Velocity [km/s],Stellar Rotational Period [days],Systemic Radial Velocity [km/s]
1,1,G8 V,0.943,0.905,0.35,-0.19695,4.43,5.5,1.521203,1.23,38.8,27.40949
2,2,M1 V,0.862,0.635,0.01,-0.97757,4.37,0.019,1.75,9.2,4.86,-6.31031
3,3,G9 V,1.0,0.95,-0.1,-0.17,4.4,0.6,1.35,8.0,5.4,29.55
4,4,M2.5 V,0.3026,0.2952,-0.07,-1.96019,4.84,9.9,1.62,2.0,30.0,14.65
5,5,M4.5 V,0.2211,0.1945,-0.17,-2.32148,5.037,5.0,25.3,2.0,122.3,35.0788
6,6,M4 V,0.2162,0.182,0.24,-2.40894,5.0286,3.0,25.41,2.0,124.7,20.91
7,7,M3.5 V,0.32,0.313,-0.02,-1.96257,4.89,7.1,13.3,2.0,122.0,10.265
8,8,M2.5 V,0.455,0.47,0.0991,-1.585,4.792,6.0,7.0,0.33,44.09,9.6
9,9,M3.5 V,0.3243,0.312,-0.15,-1.93892,4.9111,4.0,12.95,2.0,130.1,19.106
10,10,K7 V,0.58,0.62,-0.29,-1.00436,4.719,5.465,3.97,1.75,28.16,31.94888
11,10,K7 V,0.58,0.62,-0.29,-1.00436,4.7,5.465,3.97,2.43,28.16,31.94888
12,11,M3.0 V,0.265,0.255,-0.24,-2.13787,5.25,7.0,19.518,2.0,85.0,51.213
13,12,K4,0.683,0.811,0.31,-0.56702,4.663,2.69,3.70008,0.67,30.5,-63.24
14,13,K1,0.773,0.807,0.166,-0.48545,4.5687,7.2,2.468,0.7,35.5,-20.22
15,14,K3,0.694,0.756,0.35,-0.721,4.63,6.7,2.36,2.1,14.48,-18.81
16,15,G3,1.21,1.24,0.01,0.18184,4.33,10.2,1.0,3.5,15.88,-53.018
17,16,G5 V,1.11,1.13,0.24,-0.114,4.36,12.4,1.16,0.5,28.7,12.63696
18,17,K1,0.87,1.06,0.27,-0.36,4.56,1.6,2.28,0.46,19.9,-23.3849
19,18,G3 V,1.238,0.97,-0.1,0.17319,4.239,9.5,0.72,6.17,12.35,31.594
20,19,G V,1.02,1.037,0.28,-0.03152,4.436,4.2,1.37,6.23,9.8,7.6633
21,20,G,1.073,1.032,0.16,0.02938,4.389,5.5,1.17,2.35,25.7,-19.7193
22,21,G,0.968,0.997,0.14,-0.03235,4.46,4.0,1.511869,1.74,20.8,17.13053
23,22,K0 IV,2.04,1.27,0.287,0.6458,3.92,4.73,0.196,5.89,23.1,-29.3643
24,23,G4 V,1.058,0.87,-0.24,0.0162,4.39,12.3,1.034813,1.0,23.8,-69.0
25,24,K1 V,0.855,0.829,0.03,-0.32606,4.48,9.6,1.880708,1.0,36.528,-3.7977
26,25,G5,1.517,1.285,0.208,0.44091,4.184,3.3,0.517,2.8,12.8,-3.21894
27,26,G2 V,0.96,0.996,-0.038,-0.03386,4.45,3.1,1.587464,2.0,24.8,-15.80015
28,27,K2 V,0.767,0.863,0.0,-0.42946,4.54,0.4,2.241,4.5,8.73,-0.48
29,28,K2 V,0.75,0.79,-0.02,-0.46119,4.49,1.4,2.65,3.5,11.95,-2.204
30,29,G0 V,1.19,1.23,0.01,0.23086,4.45,3.1,1.04,4.4,10.65,-14.741
31,30,G,1.1011,1.068,-0.04,0.13862,4.3827,3.8,1.127,3.0,18.58,36.22294
32,31,M0 V,0.439,0.439,-0.43,-1.43997,5.2,5.0,7.3,2.0,37.5,-58.75
33,32,K0 V,0.88,0.837,0.04,-0.27003,4.53,7.8,1.817266,2.41,23.52,19.531
34,33,G5 V,0.934,0.956,-0.07,-0.1261,4.56,0.414,1.7997,7.26,6.4,-15.81
35,34,F6 V,1.22,1.2,0.143,0.26184,4.372,1.15,1.013665,5.3,9.088,5.8
36,35,K4 V,0.65,0.73,0.0,-0.74425,4.62,0.48,3.69,3.5,12.2,21.52
37,36,G1 V,1.053,1.019,0.018,0.07188,4.4,4.6,1.233,2.4,22.8,19.77605
38,37,G0 V,1.0311,1.0844,0.11,0.06781,4.445,1.3,1.3835,5.9,12.8,13.28
39,38,K4 V,0.7242,0.781,0.18,-0.67799,4.611,4.1,2.898,2.5,13.2,21.0407
40,39,F6 V,1.258,1.204,0.025,0.36361,4.3,2.0,0.852945,7.5,6.7,10.06767
41,40,G0 V,1.24,1.15,0.22,0.24969,4.33,0.75,0.85,14.0,4.3,33.6
42,41,G2,1.25,0.84,-0.46,0.27875,4.224,13.5,0.6,1.1,29.2,-16.2752
43,42,K5 V,0.677,0.742,-0.02,-0.7765,4.68,0.65,3.383583,2.0,15.0,39.2
44,43,G6 V,1.06,0.96,0.1,-0.04915,4.4,9.8,1.133,3.6,14.6,1.215
45,44,K7 V,0.681,0.708,0.0,-0.75,4.62,6.3,3.86,3.0,15.17,-3.61913
46,45,K2 V,0.719,0.735,-0.578,-0.41341,4.591,7.5,2.79,0.1,15.7,-76.855
47,46,G9,0.824,0.892,0.03,-0.29196,4.556,1.7,1.59,3.0,18.36,7.31191
48,47,F9 V,1.236,1.256,0.337,0.3032,4.353,1.09,0.937,11.76,5.07,-22.47
49,48,M4.5 V,0.2932,0.2634,0.15,-2.08831,4.944,0.73,14.6,8.8,1.878,38.64
50,49,G7 V,0.86,0.94,0.16,-0.29533,4.54,2.6,2.9,3.7,10.79,32.8786
51,50,K2 V,0.718,0.79,-0.047,-0.57,4.621,1.4,2.99,2.7,17.13,13.24695
52,51,F4 V,1.908,1.524,0.09,0.81291,4.0599,1.9,0.3111,12.3,8.0,-11.6
53,52,G2,1.492,1.212,0.15,0.42431,4.17,6.03,0.35,3.1,20.8,-28.49037
54,53,G2 V,1.01034,1.04,0.26,0.01164,4.44616,1.8,1.421655,6.0,12.01,-24.814
55,54,F6 IV,1.902,1.408,-0.03,0.715,4.026,2.84,0.287,8.4,13.42,-19.1
56,55,F7 V,1.4,1.29,0.1,0.34593,4.4,2.1,0.66,16.0,4.5,-0.063
57,56,G4 V,0.95,0.85,-0.1,-0.018,4.41,11.0,1.398,2.5,22.05,-3.041
58,57,F8 V,1.42,1.32,0.33,0.326,4.26,0.69,0.49,4.9,12.95,-37.591
59,58,G2 V,0.952,1.048,-0.01,-0.06048,4.502,0.91,1.713,4.4,11.769,9.959
60,59,G5,0.901,0.984,0.05,-0.157,4.52,0.21,1.895,5.6,5.401,-21.72051
61,60,K0 V,0.89,0.91,0.3,-0.21487,4.5,6.2,1.85,3.5,19.18,-64.18
62,61,G,0.7475,0.779,-0.18,-0.49785,4.61,0.625,2.63,2.6,12.92,-3.5084
