System ID,Host Name,Number of Stars,Number of Planets,RA [deg],Dec [deg],Distance [pc]
1,55 Cnc,2,7,133.1468373,28.3298154,12.5855
2,AU Mic,1,4,311.2911369,-31.34245,9.7221
3,CoRoT-18,1,1,98.1724172,-0.0316045,764.889
4,G 9-40,1,1,134.7188514,21.0747961,27.9276
5,GJ 1132,1,2,153.7090696,-47.1549358,12.613
6,GJ 1214,1,1,258.8313991,4.9606795,14.6427
7,GJ 3929,1,2,239.5775678,35.4081141,15.8095
8,GJ 436,1,1,175.5505363,26.7030669,9.75321
9,GJ 486,1,1,191.981531,9.7494181,8.07426
10,GJ 9827,1,3,351.7717763,-1.2853435,29.661
11,Gliese 12,1,1,3.9579137,13.5576175,12.21
12,HAT-P-11,1,2,297.7101763,48.0818635,37.7647
13,HAT-P-19,1,1,9.5165832,34.7114025,202.078
14,HAT-P-20,1,1,111.9164295,24.3361185,71.0374
15,HAT-P-21,1,1,171.2749348,41.0280207,277.278
16,HAT-P-22,2,1,155.6814593,50.1287115,81.7647
17,HAT-P-3,2,1,206.0940142,48.028565,134.554
18,HATS-16,1,1,358.5588439,-30.0130385,757.044
19,HATS-18,1,1,173.9574203,-29.1560639,624.368
20,HATS-29,1,1,285.0965172,-54.8933408,353.891
21,HD 110113,1,2,190.0365636,-44.3120777,106.307
22,HD 118203,1,2,203.509956,53.7281876,92.2589
23,HD 136352,1,3,230.4401147,-48.3188174,14.682
24,HD 15337,1,2,36.8678846,-27.6361171,44.8155
25,HD 17156,1,1,42.4366123,71.7530882,78.0863
26,HD 183579,1,1,293.2866147,-54.5327284,57.2651
27,HD 18599,2,1,44.2620144,-56.1918694,38.5653
28,HD 189733,2,1,300.1821223,22.7097759,19.7638
29,HD 209458,1,1,330.7950219,18.8842419,48.3016
30,HD 213885,1,2,338.9837166,-59.864829,48.0883
31,HD 260655,1,2,99.2915429,17.5662696,10.0055
32,HD 3167,1,4,8.7401487,4.3807215,47.2899
33,HD 63433,1,3,117.4793699,27.3631342,22.4035
34,HD 73344,1,3,129.6894456,23.6852651,35.26
35,HD 73583,1,2,129.6883026,-13.2565267,31.5666
36,HD 86226,1,2,149.1235154,-24.0991859,45.683
37,HD 93963 A,2,2,162.7766969,25.641065,82.3432
38,HIP 65 A,2,1,0.1856063,-54.8308228,61.7856
39,HR 858,2,3,42.9849779,-30.8140609,31.964
40,K2-100,1,1,129.6010863,20.1060074,188.959
41,K2-111,1,2,59.8903081,21.2985263,200.394
42,K2-136,2,3,67.4128615,22.8825674,59.2474
43,K2-140,1,1,188.1373172,-9.6076115,347.917
44,K2-141,1,2,350.9170464,-1.1891827,61.8736
45,K2-180,1,1,126.4643579,10.246577,203.896
46,K2-19,1,3,174.9602543,0.603596,289.827
47,K2-237,1,1,253.7688479,-28.7105836,314.995
48,K2-25,1,1,63.2739346,15.2477027,44.9565
49,K2-29,2,1,62.670422,24.4016558,178.475
50,K2-36,1,2,169.4490102,3.8665038,109.749
51,KELT-18,2,1,216.5238248,59.4442735,321.376
52,Kepler-103,1,2,288.9845512,40.0644857,494.832
53,Kepler-17,1,1,298.3952437,47.8149865,720.753
